BOROUGH,YEAR,AVG_CAPTURE_RATE
Bronx,1993,0.074508527414671
Bronx,1994,0.08487757809870161
Bronx,1995,0.08842658905182331
Bronx,1996,0.10063865496546559
Bronx,1997,0.11656508765800261
Bronx,1998,0.13594199175757157
Bronx,1999,0.14680255131656006
Bronx,2000,0.15375087190784403
Bronx,2001,0.15530721871148145
Bronx,2002,0.15186278610779247
Bronx,2004,0.126929260566495
Bronx,2005,0.12581071665469898
Bronx,2006,0.12448142181674811
Bronx,2007,0.12193119967585574
Bronx,2008,0.11914892318902909
Bronx,2009,0.12053868184272863
Bronx,2010,0.11872413614091906
Bronx,2011,0.11415832519215072
Bronx,2012,0.11417973297554718
Bronx,2013,0.122357371438162
Bronx,2014,0.13181259437407294
Bronx,2015,0.14197736222897034
Bronx,2016,0.15016521534893548
Bronx,2017,0.15123784872195503
Bronx,2018,0.1559796275095589
Bronx,2019,0.1617084327350528
Bronx,2020,0.17400063598166135
Bronx,2021,0.16685581989140055
Bronx,2022,0.15518889993942658
Bronx,2023,0.1508950840841022
Bronx,2024,0.14451669034458023
Bronx,2025,0.14785716771468513
Brooklyn,1993,0.11799319354859754
Brooklyn,1994,0.12123391811182271
Brooklyn,1995,0.11990854695600649
Brooklyn,1996,0.1188969977846151
Brooklyn,1997,0.12820132490041333
Brooklyn,1998,0.16158641365204232
Brooklyn,1999,0.18338081617976495
Brooklyn,2000,0.19430101696941227
Brooklyn,2001,0.18285473191856558
Brooklyn,2002,0.16917648657261802
Brooklyn,2003,0.03207854971478407
Brooklyn,2004,0.15839772366198626
Brooklyn,2005,0.1667959348619198
Brooklyn,2006,0.16439698124565416
Brooklyn,2007,0.16552268871657408
Brooklyn,2008,0.16798547525848556
Brooklyn,2009,0.16300717709210671
Brooklyn,2010,0.16096841400099357
Brooklyn,2011,0.1550174345464802
Brooklyn,2012,0.15154442256916487
Brooklyn,2013,0.15443442773478666
Brooklyn,2014,0.16009630411680947
Brooklyn,2015,0.16634305649476744
Brooklyn,2016,0.17392972008219523
Brooklyn,2017,0.17760622235285745
Brooklyn,2018,0.1798194926816015
Brooklyn,2019,0.18091661526330755
Brooklyn,2020,0.1898754309400244
Brooklyn,2021,0.17993040303954094
Brooklyn,2022,0.17576913853268486
Brooklyn,2023,0.1705356957111648
Brooklyn,2024,0.16701831525908895
Brooklyn,2025,0.17219235465589497
Manhattan,1993,0.1407940303734361
Manhattan,1994,0.1568960872381472
Manhattan,1995,0.14567237126317883
Manhattan,1996,0.1500034059508017
Manhattan,1997,0.13401326398764893
Manhattan,1998,0.10839255039644417
Manhattan,1999,0.09270882754034823
Manhattan,2000,0.11449908528815127
Manhattan,2001,0.10381838604400738
Manhattan,2002,0.09986252677459709
Manhattan,2004,0.19986826895232357
Manhattan,2005,0.20739895291157406
Manhattan,2006,0.19838016617579712
Manhattan,2007,0.1991768372284125
Manhattan,2008,0.21664436265233403
Manhattan,2009,0.21685221502828778
Manhattan,2010,0.21591650965040432
Manhattan,2011,0.20389263786470607
Manhattan,2012,0.19790321394654342
Manhattan,2013,0.20052790628134076
Manhattan,2014,0.210223023545505
Manhattan,2015,0.22331269824097902
Manhattan,2016,0.2314688750497566
Manhattan,2017,0.22792588700231453
Manhattan,2018,0.23256898263052916
Manhattan,2019,0.23832104069463295
Manhattan,2020,0.24471204425226256
Manhattan,2021,0.24022435243171955
Manhattan,2022,0.22794475642036607
Manhattan,2023,0.2237627035812365
Manhattan,2024,0.21838996799807997
Manhattan,2025,0.22258031369520803
Queens,1993,0.13104466032960418
Queens,1994,0.14135288826934508
Queens,1995,0.13550466834144612
Queens,1996,0.13640120580228843
Queens,1997,0.15305123887679656
Queens,1998,0.19650985953556802
Queens,1999,0.21303649961838336
Queens,2000,0.22967444063830628
Queens,2001,0.22411774656696243
Queens,2002,0.21973371340482206
Queens,2003,0.0919003317936373
Queens,2004,0.18700944430624364
Queens,2005,0.19236257370144377
Queens,2006,0.18732444185656372
Queens,2007,0.18709969568508839
Queens,2008,0.18546830439577708
Queens,2009,0.17923534792039889
Queens,2010,0.17600839415599875
Queens,2011,0.17086164933198478
Queens,2012,0.16781696937201923
Queens,2013,0.17031149080766056
Queens,2014,0.17549553108744206
Queens,2015,0.1814690501535187
Queens,2016,0.19127304727234243
Queens,2017,0.19402047352457968
Queens,2018,0.19514721666225374
Queens,2019,0.19523068762799023
Queens,2020,0.20135476469846253
Queens,2021,0.19213511706786965
Queens,2022,0.18991864263778804
Queens,2023,0.18810954119859458
Queens,2024,0.18740134654752447
Queens,2025,0.19721582511616617
Staten Island,1993,0.12134537214768135
Staten Island,1994,0.16593905613625895
Staten Island,1995,0.17271887578793893
Staten Island,1996,0.19555497563594298
Staten Island,1997,0.18377172789120352
Staten Island,1999,0.10537903345204755
Staten Island,2001,0.119079753327381
Staten Island,2002,0.1245491000311281
Staten Island,2004,0.19939279317703743
Staten Island,2005,0.21331552266966233
Staten Island,2006,0.21698056306619887
Staten Island,2007,0.22026139003632617
Staten Island,2008,0.21479311515777166
Staten Island,2009,0.20346251129632167
Staten Island,2010,0.19986877241027415
Staten Island,2011,0.19275753670904652
Staten Island,2012,0.18786002149344322
Staten Island,2013,0.19485122296483512
Staten Island,2014,0.20042430840191772
Staten Island,2015,0.20164398916800116
Staten Island,2016,0.2072136831848977
Staten Island,2017,0.2058230318505707
Staten Island,2018,0.2038759705114987
Staten Island,2019,0.204259884264948
Staten Island,2020,0.2072645164911672
Staten Island,2021,0.1964351304043462
Staten Island,2022,0.1932936432390082
Staten Island,2023,0.1880474998114682
Staten Island,2024,0.1866554422119068
Staten Island,2025,0.2070724419906512
